lat,lon
38.21703,-85.67885
38.21781,-85.67741
38.2192,-85.67923
38.22096,-85.68153
38.22156,-85.68232
38.22229,-85.68337
38.22267,-85.68401
38.22289,-85.68446
38.22329,-85.68545
38.22344,-85.68595
38.22353,-85.68652
38.2238,-85.68873
38.22408,-85.69104
38.22426,-85.69257
38.22435,-85.69332
38.22403,-85.69329
38.22394,-85.69331
38.22373,-85.69344
38.22365,-85.69352
38.22348,-85.69381
